type	time	latitude	longitude	altitude (ft)	eos	name
T	2014-02-01 18:45:26.515	43.143426000	-88.262282000	971.5		2/1/2014 12:45 + 2/1/2014 14:15 + 2/1/2014 15:37 + 2/1/2014 16:49 + 2/2/2014 13:38 + 2/2/2014 15:33
T	2014-02-01 18:45:27.513	43.143445000	-88.262282000	971.5		
T	2014-02-01 18:45:28.582	43.143414000	-88.262270000	971.5		
T	2014-02-01 18:45:29.025	43.143438000	-88.262265000	971.5		
T	2014-02-01 18:45:30.324	43.143442000	-88.262243000	971.1		
T	2014-02-01 18:45:31.088	43.143458000	-88.262233000	971.1		
T	2014-02-01 18:45:32.047	43.143451000	-88.262241000	971.1		
T	2014-02-01 18:45:34.025	43.143459000	-88.262239000	971.1		
T	2014-02-01 18:45:35.025	43.143466000	-88.262232000	971.1		
T	2014-02-01 18:45:37.024	43.143463000	-88.262225000	971.1		
T	2014-02-01 18:45:38.042	43.143460000	-88.262222000	971.1		
T	2014-02-01 18:45:42.034	43.143455000	-88.262213000	971.1		
T	2014-02-01 18:45:43.11	43.143449000	-88.262196000	971.1		
T	2014-02-01 18:46:10.045	43.143449000	-88.262191000	971.1		
T	2014-02-01 18:46:11.061	43.143456000	-88.262161000	971.1		
T	2014-02-01 18:46:12.108	43.143460000	-88.262148000	971.1		
T	2014-02-01 18:46:13.342	43.143479000	-88.262105000	971.1		
T	2014-02-01 18:46:13.586	43.143479000	-88.262105000	971.1		
T	2014-02-01 18:46:14.066	43.143503000	-88.262021000	971.1		
T	2014-02-01 18:46:15.083	43.143521000	-88.261927000	971.1		
T	2014-02-01 18:46:16.038	43.143552000	-88.261838000	970.1		
T	2014-02-01 18:46:17.086	43.143579000	-88.261751000	969.2		
T	2014-02-01 18:46:18.125	43.143628000	-88.261641000	967.8		
T	2014-02-01 18:46:19.015	43.143628000	-88.261641000	967.8		
T	2014-02-01 18:46:19.232	43.143669000	-88.261540000	967.8		
T	2014-02-01 18:46:20.051	43.143706000	-88.261446000	967.8		
T	2014-02-01 18:46:21.102	43.143738000	-88.261357000	967.8		
T	2014-02-01 18:46:22.102	43.143756000	-88.261298000	967.8		
T	2014-02-01 18:46:23.101	43.143780000	-88.261236000	967.8		
T	2014-02-01 18:46:24.086	43.143794000	-88.261187000	967.8		
T	2014-02-01 18:46:25.038	43.143795000	-88.261135000	967.8		
T	2014-02-01 18:46:26.044	43.143792000	-88.261078000	967.8		
T	2014-02-01 18:46:26.889	43.143792000	-88.261078000	967.8		
T	2014-02-01 18:46:27.168	43.143775000	-88.261017000	967.8		
T	2014-02-01 18:46:28.029	43.143750000	-88.260946000	967.8		
T	2014-02-01 18:46:29.06	43.143708000	-88.260888000	967.8		
T	2014-02-01 18:46:30.108	43.143667000	-88.260853000	967.8		
T	2014-02-01 18:46:31.405	43.143615000	-88.260814000	967.8		
T	2014-02-01 18:46:32.066	43.143563000	-88.260778000	967.2		
T	2014-02-01 18:46:33.066	43.143563000	-88.260778000	967.2		
T	2014-02-01 18:46:33.226	43.143511000	-88.260735000	966.5		
T	2014-02-01 18:46:34.049	43.143449000	-88.260680000	965.9		
T	2014-02-01 18:46:35.059	43.143375000	-88.260624000	964.9		
T	2014-02-01 18:46:36.104	43.143280000	-88.260537000	964.9		
T	2014-02-01 18:46:37.124	43.143152000	-88.260428000	965.2		
T	2014-02-01 18:46:38.035	43.143039000	-88.260336000	964.6		
T	2014-02-01 18:46:39.107	43.142919000	-88.260258000	964.6		
T	2014-02-01 18:46:40.078	43.142815000	-88.260175000	964.6		
T	2014-02-01 18:46:41.077	43.142716000	-88.260098000	964.2		
T	2014-02-01 18:46:41.562	43.142716000	-88.260098000	964.2		
T	2014-02-01 18:46:42.023	43.142608000	-88.260019000	962.6		
T	2014-02-01 18:46:43.033	43.142518000	-88.259950000	961.9		
T	2014-02-01 18:46:44.026	43.142428000	-88.259891000	962.3		
T	2014-02-01 18:46:45.038	43.142333000	-88.259859000	961.9		
T	2014-02-01 18:46:46.035	43.142250000	-88.259827000	961.6		
T	2014-02-01 18:46:47.034	43.142093000	-88.259816000	959.6		
T	2014-02-01 18:46:47.444	43.142093000	-88.259816000	959.6		
T	2014-02-01 18:46:48.023	43.141961000	-88.259798000	958.3		
T	2014-02-01 18:46:49.116	43.141847000	-88.259797000	958.0		
T	2014-02-01 18:46:50.103	43.141752000	-88.259797000	958.0		
T	2014-02-01 18:46:51.083	43.141692000	-88.259797000	958.0		
T	2014-02-01 18:46:52.318	43.141692000	-88.259797000	958.0		
T	2014-02-01 18:46:52.395	43.141634000	-88.259801000	958.0		
T	2014-02-01 18:46:53.042	43.141580000	-88.259805000	958.0		
T	2014-02-01 18:46:54.076	43.141549000	-88.259813000	958.0		
T	2014-02-01 18:46:55.074	43.141515000	-88.259843000	958.0		
T	2014-02-01 18:46:55.551	43.141515000	-88.259843000	958.0		
T	2014-02-01 18:46:56.023	43.141485000	-88.259887000	958.0		
T	2014-02-01 18:46:57.023	43.141469000	-88.259954000	958.0		
T	2014-02-01 18:46:58.028	43.141464000	-88.260043000	958.7		
T	2014-02-01 18:46:58.72	43.141464000	-88.260043000	958.7		
T	2014-02-01 18:46:59.024	43.141469000	-88.260159000	960.0		
T	2014-02-01 18:47:00.023	43.141471000	-88.260302000	961.9		
T	2014-02-01 18:47:01.043	43.141474000	-88.260478000	965.9		
T	2014-02-01 18:47:02.04	43.141477000	-88.260640000	968.8		
T	2014-02-01 18:47:03.074	43.141480000	-88.260840000	971.1		
T	2014-02-01 18:47:04.028	43.141483000	-88.261053000	974.7		
T	2014-02-01 18:47:05.113	43.141485000	-88.261249000	976.7		
T	2014-02-01 18:47:06.029	43.141485000	-88.261463000	978.0		
T	2014-02-01 18:47:07.096	43.141489000	-88.261662000	979.0		
T	2014-02-01 18:47:08.052	43.141493000	-88.261863000	980.3		
T	2014-02-01 18:47:08.447	43.141493000	-88.261863000	980.3		
T	2014-02-01 18:47:09.124	43.141492000	-88.262082000	981.0		
T	2014-02-01 18:47:10.115	43.141495000	-88.262268000	981.0		
T	2014-02-01 18:47:11.098	43.141496000	-88.262459000	981.0		
T	2014-02-01 18:47:12.034	43.141496000	-88.262639000	982.6		
T	2014-02-01 18:47:13.045	43.141496000	-88.262733000	983.6		
T	2014-02-01 18:47:14.098	43.141492000	-88.262877000	984.3		
T	2014-02-01 18:47:15.373	43.141492000	-88.263019000	984.3		
T	2014-02-01 18:47:16.16	43.141491000	-88.263178000	985.6		
T	2014-02-01 18:47:17.158	43.141491000	-88.263178000	985.6		
T	2014-02-01 18:47:17.411	43.141488000	-88.263372000	987.5		
T	2014-02-01 18:47:18.072	43.141487000	-88.263544000	987.5		
T	2014-02-01 18:47:19.146	43.141492000	-88.263792000	987.5		
T	2014-02-01 18:47:20.17	43.141496000	-88.263980000	987.5		
T	2014-02-01 18:47:21.069	43.141498000	-88.264159000	987.5		
T	2014-02-01 18:47:22.028	43.141497000	-88.264367000	987.5		
T	2014-02-01 18:47:23.114	43.141497000	-88.264540000	988.2		
T	2014-02-01 18:47:24.075	43.141493000	-88.264732000	989.5		
T	2014-02-01 18:47:25.107	43.141488000	-88.264920000	990.5		
T	2014-02-01 18:47:25.497	43.141488000	-88.264920000	990.5		
T	2014-02-01 18:47:26.076	43.141480000	-88.265076000	990.8		
T	2014-02-01 18:47:27.032	43.141480000	-88.265076000	990.8		
T	2014-02-01 18:47:27.244	43.141474000	-88.265247000	990.8		
T	2014-02-01 18:47:28.199	43.141468000	-88.265404000	990.8		
T	2014-02-01 18:47:29.074	43.141468000	-88.265554000	990.8		
T	2014-02-01 18:47:30.028	43.141468000	-88.265719000	990.8		
T	2014-02-01 18:47:31.121	43.141473000	-88.265882000	991.5		
T	2014-02-01 18:47:32.27	43.141476000	-88.266028000	993.1		
T	2014-02-01 18:47:32.694	43.141476000	-88.266028000	993.1		
T	2014-02-01 18:47:33.047	43.141472000	-88.266194000	994.1		
T	2014-02-01 18:47:34.027	43.141471000	-88.266343000	994.1		
T	2014-02-01 18:47:35.139	43.141475000	-88.266515000	994.1		
T	2014-02-01 18:47:36.035	43.141475000	-88.266679000	994.1		
T	2014-02-01 18:47:37.148	43.141478000	-88.266800000	994.1		
T	2014-02-01 18:47:38.106	43.141482000	-88.266952000	994.1		
T	2014-02-01 18:47:39.181	43.141479000	-88.267087000	995.1		
T	2014-02-01 18:47:40.033	43.141476000	-88.267233000	996.4		
T	2014-02-01 18:47:41.186	43.141490000	-88.267434000	996.1		
T	2014-02-01 18:47:41.318	43.141490000	-88.267434000	996.1		
T	2014-02-01 18:47:42.028	43.141490000	-88.267613000	995.4		
T	2014-02-01 18:47:43.121	43.141489000	-88.267800000	994.1		
T	2014-02-01 18:47:44.097	43.141489000	-88.267980000	994.1		
T	2014-02-01 18:47:45.155	43.141488000	-88.268160000	993.4		
T	2014-02-01 18:47:46.075	43.141488000	-88.268361000	991.8		
T	2014-02-01 18:47:46.397	43.141488000	-88.268361000	991.8		
T	2014-02-01 18:47:47.09	43.141479000	-88.268535000	991.1		
T	2014-02-01 18:47:48.023	43.141475000	-88.268725000	990.8		
T	2014-02-01 18:47:49.467	43.141473000	-88.268953000	990.2		
T	2014-02-01 18:47:50.139	43.141471000	-88.269150000	987.9		
T	2014-02-01 18:47:51.084	43.141467000	-88.269364000	985.9		
T	2014-02-01 18:47:51.444	43.141467000	-88.269364000	985.9		
T	2014-02-01 18:47:52.126	43.141466000	-88.269566000	984.9		
T	2014-02-01 18:47:53.142	43.141471000	-88.269768000	983.9		
T	2014-02-01 18:47:54.097	43.141470000	-88.270002000	982.0		
T	2014-02-01 18:47:55.13	43.141465000	-88.270204000	982.0		
T	2014-02-01 18:47:56.113	43.141462000	-88.270427000	982.0		
T	2014-02-01 18:47:56.644	43.141462000	-88.270427000	982.0		
T	2014-02-01 18:47:57.108	43.141460000	-88.270658000	982.9		
T	2014-02-01 18:47:58.151	43.141465000	-88.270862000	985.2		
T	2014-02-01 18:47:59.123	43.141465000	-88.271082000	985.2		
T	2014-02-01 18:48:00.32	43.141464000	-88.271294000	985.2		
T	2014-02-01 18:48:01.111	43.141468000	-88.271453000	985.2		
T	2014-02-01 18:48:02.151	43.141468000	-88.271453000	985.2		
T	2014-02-01 18:48:03.085	43.141466000	-88.271843000	983.6		
T	2014-02-01 18:48:04.114	43.141460000	-88.272029000	981.6		
T	2014-02-01 18:48:05.042	43.141455000	-88.272228000	979.3		
T	2014-02-01 18:48:06.028	43.141453000	-88.272409000	981.0		
T	2014-02-01 18:48:06.752	43.141453000	-88.272409000	981.0		
T	2014-02-01 18:48:07.089	43.141449000	-88.272622000	983.3		
T	2014-02-01 18:48:08.18	43.141449000	-88.272829000	985.9		
T	2014-02-01 18:48:09.129	43.141454000	-88.272951000	988.5		
T	2014-02-01 18:48:10.102	43.141448000	-88.273118000	990.8		
T	2014-02-01 18:48:11.17	43.141442000	-88.273287000	991.5		
T	2014-02-01 18:48:11.822	43.141442000	-88.273287000	991.5		
T	2014-02-01 18:48:12.041	43.141437000	-88.273466000	993.1		
T	2014-02-01 18:48:13.201	43.141422000	-88.273608000	994.4		
T	2014-02-01 18:48:14.107	43.141418000	-88.273759000	994.4		
T	2014-02-01 18:48:15.025	43.141416000	-88.273943000	995.1		
T	2014-02-01 18:48:16.106	43.141413000	-88.274122000	997.0		
T	2014-02-01 18:48:17.069	43.141413000	-88.274122000	997.0		
T	2014-02-01 18:48:17.19	43.141411000	-88.274313000	997.4		
T	2014-02-01 18:48:18.086	43.141408000	-88.274549000	997.4		
T	2014-02-01 18:48:19.039	43.141403000	-88.274748000	997.7		
T	2014-02-01 18:48:20.053	43.141395000	-88.274959000	1000.3		
T	2014-02-01 18:48:21.064	43.141395000	-88.275199000	1003.0		
T	2014-02-01 18:48:21.998	43.141395000	-88.275199000	1003.0		
T	2014-02-01 18:48:22.182	43.141392000	-88.275405000	1003.9		
T	2014-02-01 18:48:23.034	43.141391000	-88.275638000	1004.9		
T	2014-02-01 18:48:24.089	43.141386000	-88.275860000	1007.2		
T	2014-02-01 18:48:25.04	43.141385000	-88.276038000	1007.2		
T	2014-02-01 18:48:26.032	43.141385000	-88.276239000	1007.2		
T	2014-02-01 18:48:27.246	43.141385000	-88.276387000	1007.2		
T	2014-02-01 18:48:28.028	43.141384000	-88.276530000	1007.2		
T	2014-02-01 18:48:29.034	43.141383000	-88.276676000	1006.9		
T	2014-02-01 18:48:30.03	43.141380000	-88.276810000	1005.6		
T	2014-02-01 18:48:30.768	43.141380000	-88.276810000	1005.6		
T	2014-02-01 18:48:31.21	43.141381000	-88.276997000	1003.9		
T	2014-02-01 18:48:32.283	43.141379000	-88.277177000	1003.9		
T	2014-02-01 18:48:33.034	43.141377000	-88.277349000	1003.9		
T	2014-02-01 18:48:34.073	43.141373000	-88.277526000	1003.6		
T	2014-02-01 18:48:35.125	43.141369000	-88.277672000	1003.6		
T	2014-02-01 18:48:35.837	43.141369000	-88.277672000	1003.6		
T	2014-02-01 18:48:36.074	43.141374000	-88.277805000	1003.9		
T	2014-02-01 18:48:37.033	43.141371000	-88.277937000	1005.6		
T	2014-02-01 18:48:38.054	43.141365000	-88.278064000	1006.9		
T	2014-02-01 18:48:39.09	43.141359000	-88.278226000	1007.2		
T	2014-02-01 18:48:40.04	43.141361000	-88.278404000	1008.2		
T	2014-02-01 18:48:41.041	43.141361000	-88.278404000	1008.2		
T	2014-02-01 18:48:41.464	43.141357000	-88.278563000	1009.8		
T	2014-02-01 18:48:42.121	43.141352000	-88.278760000	1012.1		
T	2014-02-01 18:48:43.142	43.141349000	-88.278941000	1013.5		
T	2014-02-01 18:48:44.114	43.141349000	-88.279133000	1013.5		
T	2014-02-01 18:48:45.115	43.141344000	-88.279340000	1011.2		
T	2014-02-01 18:48:46.122	43.141344000	-88.279340000	1011.2		
T	2014-02-01 18:48:46.28	43.141342000	-88.279541000	1008.9		
T	2014-02-01 18:48:47.092	43.141340000	-88.279776000	1007.2		
T	2014-02-01 18:48:48.111	43.141340000	-88.279993000	1007.2		
T	2014-02-01 18:48:49.034	43.141337000	-88.280207000	1007.5		
T	2014-02-01 18:48:50.044	43.141335000	-88.280436000	1007.9		
T	2014-02-01 18:48:51.174	43.141335000	-88.280436000	1007.9		
T	2014-02-01 18:48:51.336	43.141336000	-88.280657000	1008.9		
T	2014-02-01 18:48:52.109	43.141333000	-88.280885000	1011.5		
T	2014-02-01 18:48:53.097	43.141330000	-88.281124000	1016.4		
T	2014-02-01 18:48:54.096	43.141334000	-88.281323000	1016.4		
T	2014-02-01 18:48:55.137	43.141330000	-88.281563000	1016.7		
T	2014-02-01 18:48:56.035	43.141327000	-88.281790000	1017.1		
T	2014-02-01 18:48:56.3	43.141327000	-88.281790000	1017.1		
T	2014-02-01 18:48:57.158	43.141316000	-88.282008000	1017.7		
T	2014-02-01 18:48:58.082	43.141313000	-88.282253000	1020.3		
T	2014-02-01 18:48:59.241	43.141319000	-88.282450000	1020.3		
T	2014-02-01 18:49:00.288	43.141326000	-88.282652000	1020.3		
T	2014-02-01 18:49:01.167	43.141327000	-88.282849000	1020.3		
T	2014-02-01 18:49:01.285	43.141327000	-88.282849000	1020.3		
T	2014-02-01 18:49:02.023	43.141329000	-88.283029000	1020.3		
T	2014-02-01 18:49:03.077	43.141335000	-88.283209000	1020.3		
T	2014-02-01 18:49:04.096	43.141334000	-88.283396000	1019.7		
T	2014-02-01 18:49:05.109	43.141339000	-88.283574000	1018.0		
T	2014-02-01 18:49:06.111	43.141345000	-88.283764000	1019.0		
T	2014-02-01 18:49:06.978	43.141345000	-88.283764000	1019.0		
T	2014-02-01 18:49:07.083	43.141344000	-88.283916000	1020.3		
T	2014-02-01 18:49:08.026	43.141346000	-88.284088000	1020.3		
T	2014-02-01 18:49:09.198	43.141345000	-88.284269000	1020.3		
T	2014-02-01 18:49:10.042	43.141343000	-88.284435000	1020.3		
T	2014-02-01 18:49:11.147	43.141337000	-88.284580000	1020.3		
T	2014-02-01 18:49:11.506	43.141337000	-88.284580000	1020.3		
T	2014-02-01 18:49:12.074	43.141331000	-88.284740000	1020.3		
T	2014-02-01 18:49:13.448	43.141324000	-88.284887000	1020.3		
T	2014-02-01 18:49:14.121	43.141323000	-88.285068000	1019.7		
T	2014-02-01 18:49:15.114	43.141319000	-88.285227000	1018.4		
T	2014-02-01 18:49:16.024	43.141316000	-88.285402000	1018.0		
T	2014-02-01 18:49:16.943	43.141316000	-88.285402000	1018.0		
T	2014-02-01 18:49:17.551	43.141315000	-88.285614000	1018.0		
T	2014-02-01 18:49:18.119	43.141316000	-88.285794000	1018.0		
T	2014-02-01 18:49:19.113	43.141317000	-88.286011000	1018.0		
T	2014-02-01 18:49:20.124	43.141314000	-88.286203000	1018.0		
T	2014-02-01 18:49:21.053	43.141312000	-88.286391000	1018.0		
T	2014-02-01 18:49:22.114	43.141313000	-88.286635000	1020.0		
T	2014-02-01 18:49:23.119	43.141309000	-88.286869000	1020.3		
T	2014-02-01 18:49:24.094	43.141310000	-88.287112000	1020.3		
T	2014-02-01 18:49:25.073	43.141312000	-88.287345000	1020.3		
T	2014-02-01 18:49:25.84	43.141312000	-88.287345000	1020.3		
T	2014-02-01 18:49:26.071	43.141318000	-88.287535000	1020.3		
T	2014-02-01 18:49:27.058	43.141324000	-88.287746000	1020.3		
T	2014-02-01 18:49:28.027	43.141328000	-88.287924000	1020.3		
T	2014-02-01 18:49:29.031	43.141326000	-88.288091000	1020.3		
T	2014-02-01 18:49:30.047	43.141324000	-88.288264000	1020.3		
T	2014-02-01 18:49:31.044	43.141324000	-88.288264000	1020.3		
T	2014-02-01 18:49:31.213	43.141316000	-88.288404000	1020.3		
T	2014-02-01 18:49:32.05	43.141310000	-88.288556000	1020.3		
T	2014-02-01 18:49:33.105	43.141310000	-88.288702000	1019.7		
T	2014-02-01 18:49:34.168	43.141310000	-88.288838000	1018.4		
T	2014-02-01 18:49:35.078	43.141301000	-88.288985000	1018.0		
T	2014-02-01 18:49:36.075	43.141301000	-88.288985000	1018.0		
T	2014-02-01 18:49:36.226	43.141294000	-88.289126000	1018.0		
T	2014-02-01 18:49:37.09	43.141300000	-88.289208000	1018.0		
T	2014-02-01 18:49:38.314	43.141309000	-88.289355000	1017.4		
T	2014-02-01 18:49:39.097	43.141308000	-88.289502000	1017.1		
T	2014-02-01 18:49:40.034	43.141311000	-88.289682000	1017.1		
T	2014-02-01 18:49:41.056	43.141311000	-88.289682000	1017.1		
T	2014-02-01 18:49:41.122	43.141310000	-88.289893000	1017.7		
T	2014-02-01 18:49:42.335	43.141309000	-88.290091000	1018.0		
T	2014-02-01 18:49:43.152	43.141311000	-88.290310000	1017.7		
T	2014-02-01 18:49:44.102	43.141311000	-88.290488000	1016.1		
T	2014-02-01 18:49:45.067	43.141317000	-88.290660000	1014.4		
T	2014-02-01 18:49:46.031	43.141319000	-88.290891000	1013.1		
T	2014-02-01 18:49:46.343	43.141319000	-88.290891000	1013.1		
T	2014-02-01 18:49:47.04	43.141319000	-88.291077000	1013.8		
T	2014-02-01 18:49:48.078	43.141323000	-88.291280000	1013.5		
T	2014-02-01 18:49:49.104	43.141324000	-88.291504000	1014.8		
T	2014-02-01 18:49:50.292	43.141322000	-88.291683000	1016.1		
T	2014-02-01 18:49:51.107	43.141325000	-88.291894000	1016.1		
T	2014-02-01 18:49:51.413	43.141325000	-88.291894000	1016.1		
T	2014-02-01 18:49:52.026	43.141327000	-88.292093000	1016.1		
T	2014-02-01 18:49:53.117	43.141330000	-88.292225000	1015.7		
T	2014-02-01 18:49:54.032	43.141333000	-88.292396000	1017.4		
T	2014-02-01 18:49:55.118	43.141343000	-88.292534000	1018.0		
T	2014-02-01 18:49:56.032	43.141347000	-88.292671000	1018.0		
T	2014-02-01 18:49:56.452	43.141347000	-88.292671000	1018.0		
T	2014-02-01 18:49:57.078	43.141344000	-88.292805000	1018.0		
T	2014-02-01 18:49:58.038	43.141344000	-88.292921000	1018.0		
T	2014-02-01 18:49:59.224	43.141352000	-88.293011000	1018.0		
T	2014-02-01 18:50:00.26	43.141373000	-88.293088000	1017.4		
T	2014-02-01 18:50:01.056	43.141383000	-88.293140000	1017.1		
T	2014-02-01 18:50:01.592	43.141383000	-88.293140000	1017.1		
T	2014-02-01 18:50:02.04	43.141421000	-88.293204000	1016.4		
T	2014-02-01 18:50:03.321	43.141487000	-88.293258000	1014.8		
T	2014-02-01 18:50:04.026	43.141585000	-88.293305000	1012.5		
T	2014-02-01 18:50:05.04	43.141714000	-88.293326000	1008.9		
T	2014-02-01 18:50:06.064	43.141812000	-88.293309000	1005.2		
T	2014-02-01 18:50:06.633	43.141812000	-88.293309000	1005.2		
T	2014-02-01 18:50:07.053	43.141909000	-88.293278000	1002.0		
T	2014-02-01 18:50:08.083	43.142006000	-88.293265000	999.3		
T	2014-02-01 18:50:09.105	43.142108000	-88.293258000	996.7		
T	2014-02-01 18:50:10.12	43.142254000	-88.293255000	993.4		
T	2014-02-01 18:50:11.119	43.142406000	-88.293248000	989.8		
T	2014-02-01 18:50:11.868	43.142406000	-88.293248000	989.8		
T	2014-02-01 18:50:12.026	43.142569000	-88.293242000	987.5		
T	2014-02-01 18:50:13.126	43.142786000	-88.293233000	987.5		
T	2014-02-01 18:50:14.021	43.142969000	-88.293233000	987.5		
T	2014-02-01 18:50:15.12	43.143208000	-88.293256000	987.5		
T	2014-02-01 18:50:16.024	43.143417000	-88.293270000	987.5		
T	2014-02-01 18:50:16.875	43.143417000	-88.293270000	987.5		
T	2014-02-01 18:50:17.202	43.143612000	-88.293243000	987.5		
T	2014-02-01 18:50:18.045	43.143828000	-88.293237000	987.5		
T	2014-02-01 18:50:19.095	43.144017000	-88.293235000	987.5		
T	2014-02-01 18:50:20.176	43.144208000	-88.293233000	987.5		
T	2014-02-01 18:50:20.865	43.144208000	-88.293233000	987.5		
T	2014-02-01 18:50:21.111	43.144422000	-88.293233000	987.5		
T	2014-02-01 18:50:22.069	43.144619000	-88.293240000	987.5		
T	2014-02-01 18:50:23.121	43.144835000	-88.293251000	987.5		
T	2014-02-01 18:50:24.446	43.145045000	-88.293259000	988.2		
T	2014-02-01 18:50:25.119	43.145152000	-88.293233000	989.2		
T	2014-02-01 18:50:25.936	43.145152000	-88.293233000	989.2		
T	2014-02-01 18:50:26.131	43.145286000	-88.293230000	990.8		
T	2014-02-01 18:50:27.187	43.145386000	-88.293222000	991.5		
T	2014-02-01 18:50:28.033	43.145496000	-88.293214000	991.8		
T	2014-02-01 18:50:29.048	43.145526000	-88.293248000	991.8		
T	2014-02-01 18:50:30.048	43.145583000	-88.293268000	991.8		
T	2014-02-01 18:50:31.058	43.145583000	-88.293268000	991.8		
T	2014-02-01 18:50:31.224	43.145639000	-88.293306000	992.1		
T	2014-02-01 18:50:32.126	43.145704000	-88.293317000	992.8		
T	2014-02-01 18:50:33.238	43.145762000	-88.293322000	993.4		
T	2014-02-01 18:50:34.045	43.145826000	-88.293329000	994.1		
T	2014-02-01 18:50:35.096	43.145927000	-88.293321000	995.1		
T	2014-02-01 18:50:36.122	43.145927000	-88.293321000	995.1		
T	2014-02-01 18:50:36.259	43.146014000	-88.293329000	996.4		
T	2014-02-01 18:50:37.763	43.146104000	-88.293318000	997.4		
T	2014-02-01 18:50:38.178	43.146183000	-88.293317000	997.4		
T	2014-02-01 18:50:39.119	43.146282000	-88.293316000	997.4		
T	2014-02-01 18:50:40.032	43.146370000	-88.293315000	997.4		
T	2014-02-01 18:50:41.11	43.146463000	-88.293287000	997.4		
T	2014-02-01 18:50:41.535	43.146463000	-88.293287000	997.4		
T	2014-02-01 18:50:42.107	43.146583000	-88.293269000	997.4		
T	2014-02-01 18:50:43.055	43.146707000	-88.293245000	997.4		
T	2014-02-01 18:50:44.022	43.146850000	-88.293221000	997.4		
T	2014-02-01 18:50:45.03	43.147018000	-88.293198000	997.4		
T	2014-02-01 18:50:46.244	43.147168000	-88.293177000	997.4		
T	2014-02-01 18:50:46.41	43.147168000	-88.293177000	997.4		
T	2014-02-01 18:50:47.158	43.147339000	-88.293154000	997.4		
T	2014-02-01 18:50:48.031	43.147499000	-88.293137000	997.4		
T	2014-02-01 18:50:49.136	43.147621000	-88.293148000	997.4		
T	2014-02-01 18:50:50.102	43.147796000	-88.293162000	997.4		
T	2014-02-01 18:50:51.158	43.147926000	-88.293171000	997.4		
T	2014-02-01 18:50:51.502	43.147926000	-88.293171000	997.4		
T	2014-02-01 18:50:52.085	43.148074000	-88.293184000	997.4		
T	2014-02-01 18:50:53.122	43.148188000	-88.293199000	997.4		
T	2014-02-01 18:50:54.029	43.148281000	-88.293205000	997.4		
T	2014-02-01 18:50:55.207	43.148394000	-88.293208000	997.4		
T	2014-02-01 18:50:56.037	43.148501000	-88.293210000	997.4		
T	2014-02-01 18:50:56.583	43.148501000	-88.293210000	997.4		
T	2014-02-01 18:50:57.106	43.148628000	-88.293215000	997.4		
T	2014-02-01 18:50:58.117	43.148756000	-88.293211000	997.4		
T	2014-02-01 18:50:59.14	43.148870000	-88.293205000	997.4		
T	2014-02-01 18:51:00.25	43.148995000	-88.293200000	997.4		
T	2014-02-01 18:51:01.047	43.149155000	-88.293181000	997.4		
T	2014-02-01 18:51:01.695	43.149155000	-88.293181000	997.4		
T	2014-02-01 18:51:02.031	43.149291000	-88.293168000	997.4		
T	2014-02-01 18:51:03.214	43.149460000	-88.293149000	997.4		
T	2014-02-01 18:51:04.139	43.149607000	-88.293142000	997.4		
T	2014-02-01 18:51:05.119	43.149724000	-88.293132000	997.4		
T	2014-02-01 18:51:06.039	43.149859000	-88.293122000	997.4		
T	2014-02-01 18:51:06.813	43.149859000	-88.293122000	997.4		
T	2014-02-01 18:51:07.112	43.149945000	-88.293107000	997.4		
T	2014-02-01 18:51:08.319	43.150025000	-88.293097000	997.4		
T	2014-02-01 18:51:09.055	43.150099000	-88.293085000	997.4		
T	2014-02-01 18:51:10.029	43.150156000	-88.293083000	997.4		
T	2014-02-01 18:51:11.023	43.150208000	-88.293079000	997.4		
T	2014-02-01 18:51:11.985	43.150208000	-88.293079000	997.4		
T	2014-02-01 18:51:12.354	43.150262000	-88.293074000	997.4		
T	2014-02-01 18:51:13.117	43.150265000	-88.293075000	997.4		
T	2014-02-01 18:51:14.028	43.150297000	-88.293070000	997.4		
T	2014-02-01 18:51:15.061	43.150328000	-88.293084000	997.4		
T	2014-02-01 18:51:16.028	43.150354000	-88.293087000	997.4		
T	2014-02-01 18:51:18.048	43.150354000	-88.293086000	997.4		
T	2014-02-01 18:51:19.097	43.150353000	-88.293071000	997.4		
T	2014-02-01 18:51:20.074	43.150359000	-88.293071000	997.4		
T	2014-02-01 18:51:21.072	43.150444000	-88.293078000	997.4		
T	2014-02-01 18:51:22.071	43.150504000	-88.293078000	997.4		
T	2014-02-01 18:51:23.099	43.150657000	-88.293060000	997.4		
T	2014-02-01 18:51:24.053	43.150769000	-88.293047000	997.4		
T	2014-02-01 18:51:25.134	43.150917000	-88.293070000	997.4		
T	2014-02-01 18:51:26.139	43.151049000	-88.293076000	997.0		
T	2014-02-01 18:51:26.143	43.151049000	-88.293076000	997.0		
T	2014-02-01 18:51:27.146	43.151173000	-88.293079000	996.4		
T	2014-02-01 18:51:28.078	43.151270000	-88.293080000	995.4		
T	2014-02-01 18:51:29.045	43.151362000	-88.293076000	994.4		
T	2014-02-01 18:51:30.413	43.151487000	-88.293065000	994.1		
T	2014-02-01 18:51:30.613	43.151487000	-88.293065000	994.1		
T	2014-02-01 18:51:31.158	43.151604000	-88.293059000	994.1		
T	2014-02-01 18:51:32.061	43.151726000	-88.293047000	994.1		
T	2014-02-01 18:51:33.093	43.151843000	-88.293043000	994.1		
T	2014-02-01 18:51:34.047	43.151936000	-88.293049000	994.1		
